game_id,quarter,score,team_name
331020023,1,7,Steelers
331020023,2,3,Steelers
331020023,3,3,Steelers
331020023,4,6,Steelers
331020023,1,3,Ravens
331020023,2,3,Ravens
331020023,3,0,Ravens
331020023,4,10,Ravens
331020011,1,10,Colts
331020011,2,16,Colts
331020011,3,7,Colts
331020011,4,6,Colts
331020011,1,7,Broncos
331020011,2,7,Broncos
331020011,3,3,Broncos
331020011,4,16,Broncos
331021019,1,3,Giants
331021019,2,7,Giants
331021019,3,7,Giants
331021019,4,6,Giants
331021019,1,7,Vikings
331021019,2,0,Vikings
331021019,3,0,Vikings
331021019,4,0,Vikings
331024027,1,3,Buccaneers
331024027,2,3,Buccaneers
331024027,3,0,Buccaneers
331024027,4,7,Buccaneers
331024027,1,7,Panthers
331024027,2,7,Panthers
331024027,3,7,Panthers
331024027,4,10,Panthers
331027008,1,7,Lions
331027008,2,0,Lions
331027008,3,0,Lions
331027008,4,24,Lions
331027008,1,0,Cowboys
331027008,2,10,Cowboys
331027008,3,3,Cowboys
331027008,4,17,Cowboys
331027012,1,6,Chiefs
331027012,2,14,Chiefs
331027012,3,0,Chiefs
331027012,4,3,Chiefs
331027012,1,0,Browns
331027012,2,10,Browns
331027012,3,7,Browns
331027012,4,0,Browns
331027017,1,0,Patriots
331027017,2,3,Patriots
331027017,3,17,Patriots
331027017,4,7,Patriots
331027017,1,7,Dolphins
331027017,2,10,Dolphins
331027017,3,0,Dolphins
331027017,4,0,Dolphins
331027018,1,7,Saints
331027018,2,14,Saints
331027018,3,7,Saints
331027018,4,7,Saints
331027018,1,0,Bills
331027018,2,10,Bills
331027018,3,0,Bills
331027018,4,7,Bills
331027021,1,0,Eagles
331027021,2,0,Eagles
331027021,3,0,Eagles
331027021,4,7,Eagles
331027021,1,6,Giants
331027021,2,6,Giants
331027021,3,0,Giants
331027021,4,3,Giants
331027030,1,0,Jaguars
331027030,2,3,Jaguars
331027030,3,7,Jaguars
331027030,4,0,Jaguars
331027030,1,14,49ers
331027030,2,14,49ers
331027030,3,7,49ers
331027030,4,7,49ers
331027004,1,14,Bengals
331027004,2,14,Bengals
331027004,3,14,Bengals
331027004,4,7,Bengals
331027004,1,0,Jets
331027004,2,6,Jets
331027004,3,3,Jets
331027004,4,0,Jets
331027013,1,14,Raiders
331027013,2,7,Raiders
331027013,3,0,Raiders
331027013,4,0,Raiders
331027013,1,0,Steelers
331027013,2,3,Steelers
331027013,3,0,Steelers
331027013,4,15,Steelers
331027007,1,7,Broncos
331027007,2,0,Broncos
331027007,3,7,Broncos
331027007,4,31,Broncos
331027007,1,0,Commanders
331027007,2,7,Commanders
331027007,3,14,Commanders
331027007,4,0,Commanders
331027022,1,0,Cardinals
331027022,2,21,Cardinals
331027022,3,3,Cardinals
331027022,4,3,Cardinals
331027022,1,3,Falcons
331027022,2,3,Falcons
331027022,3,0,Falcons
331027022,4,7,Falcons
331027016,1,7,Vikings
331027016,2,10,Vikings
331027016,3,0,Vikings
331027016,4,14,Vikings
331027016,1,7,Packers
331027016,2,17,Packers
331027016,3,7,Packers
331027016,4,13,Packers
331028014,1,3,Rams
331028014,2,0,Rams
331028014,3,3,Rams
331028014,4,3,Rams
331028014,1,0,Seahawks
331028014,2,7,Seahawks
331028014,3,7,Seahawks
331028014,4,0,Seahawks
331031015,1,0,Dolphins
331031015,2,10,Dolphins
331031015,3,7,Dolphins
331031015,4,3,Dolphins
331031015,5,2,Dolphins
331031015,1,0,Bengals
331031015,2,3,Bengals
331031015,3,7,Bengals
331031015,4,10,Bengals
331031015,5,0,Bengals
331103002,1,7,Bills
331103002,2,3,Bills
331103002,3,3,Bills
331103002,4,0,Bills
331103002,1,0,Chiefs
331103002,2,3,Chiefs
331103002,3,10,Chiefs
331103002,4,10,Chiefs
331103006,1,3,Cowboys
331103006,2,3,Cowboys
331103006,3,14,Cowboys
331103006,4,7,Cowboys
331103006,1,3,Vikings
331103006,2,7,Vikings
